Recording,10830mWh
Current Setpoint,1500
Low Voltage Stop,3300
Seconds, Voltage, Current, mAh, mWh
0.9968816,4.237,1495,0.355,1.496
1.9895345,4.236,1500,0.772,3.262
2.9980425,4.234,1497,1.188,5.026
3.9905096,4.234,1500,1.605,6.79
4.9829144,4.232,1500,2.022,8.553
5.9917597,4.232,1500,2.438,10.316
6.983925,4.232,1499,2.855,12.079
7.9928866,4.232,1499,3.272,13.842
8.9851953,4.232,1499,3.688,15.604
9.9780014,4.23,1499,4.105,17.367
10.9868522,4.23,1500,4.522,19.129
11.978935,4.23,1500,4.938,20.891
12.9875545,4.23,1499,5.355,22.653
13.9801484,4.228,1500,5.772,24.415
14.9729062,4.23,1499,6.188,26.176
15.9818525,4.23,1499,6.605,27.938
16.9739049,4.228,1499,7.022,29.699
17.9819253,4.228,1500,7.438,31.46
18.9748811,4.228,1499,7.855,33.221
19.9681162,4.226,1499,8.272,34.981
20.9759145,4.226,1499,8.688,36.742
21.9688967,4.227,1500,9.105,38.502
22.9768805,4.226,1498,9.522,40.262
23.9698812,4.225,1500,9.938,42.022
24.9619111,4.223,1499,10.355,43.782
25.9709182,4.221,1500,10.772,45.541
26.9635691,4.221,1500,11.188,47.299
27.9720148,4.221,1500,11.605,49.058
28.9644051,4.221,1501,12.022,50.816
29.9569768,4.221,1498,12.438,52.575
30.9658953,4.219,1500,12.855,54.333
31.9578361,4.219,1500,13.272,56.091
32.9668152,4.219,1499,13.688,57.848
33.9592564,4.219,1500,14.105,59.605
34.9517035,4.217,1500,14.522,61.362
35.9609605,4.217,1500,14.938,63.118
36.9534059,4.215,1500,15.355,64.874
37.9619216,4.215,1499,15.772,66.63
38.9540368,4.215,1500,16.188,68.386
39.9469943,4.213,1500,16.605,70.141
40.9551789,4.213,1499,17.022,71.896
41.947962,4.213,1499,17.438,73.651
42.9568892,4.213,1498,17.855,75.406
43.9499005,4.211,1498,18.272,77.16
44.9418775,4.212,1500,18.688,78.914
45.9498783,4.21,1500,19.105,80.668
46.9428841,4.211,1498,19.522,82.422
47.9515363,4.21,1500,19.938,84.176
48.9440677,4.208,1500,20.355,85.929
49.9369395,4.21,1500,20.772,87.682
50.9448823,4.21,1499,21.188,89.435
51.9378577,4.208,1498,21.605,91.188
52.9459151,4.208,1498,22.022,92.941
53.9388806,4.208,1500,22.438,94.693
54.9312965,4.206,1500,22.855,96.446
55.9402163,4.206,1500,23.272,98.198
56.9321856,4.208,1499,23.688,99.95
57.9408927,4.206,1499,24.105,101.702
58.9339321,4.206,1499,24.522,103.454
59.9262214,4.206,1499,24.938,105.205
